2025-04-12 18:07:34.528 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:07:42.092 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:07:42.177 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:07:46.803 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:07:46.873 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:08:34.322 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:08:34.392 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:08:39.700 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:08:39.769 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:10:37.433 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:10:37.505 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:10:41.994 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:10:42.061 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:11:46.868 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:11:46.931 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:11:51.391 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:11:51.461 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:12:37.913 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:12:37.996 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:12:42.488 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:12:42.555 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:14:52.663 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
