2025-04-12 12:06:07.691 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:06:12.742 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:06:12.743 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:06:12.743 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:06:12.743 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:06:13.743 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:06:13.743 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:06:14.558 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:06:19.593 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:06:19.593 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:06:19.593 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:06:19.593 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:06:20.594 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:06:20.594 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:06:21.407 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:06:26.458 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:06:26.458 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:06:26.458 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:06:26.458 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:06:27.459 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:06:27.460 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:06:28.264 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:06:36.241 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:06:36.241 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:06:36.241 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:06:36.242 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:06:37.242 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:06:37.242 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:06:38.071 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:08:05.276 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠' (句柄: 396834):
2025-04-12 12:08:05.276 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:08:05.276 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:08:05.276 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:08:06.277 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:08:06.277 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:08:07.100 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:08:12.144 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠' (句柄: 396834):
2025-04-12 12:08:12.144 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:08:12.145 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:08:12.145 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:08:13.146 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:08:13.147 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:08:13.983 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:08:19.028 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠' (句柄: 396834):
2025-04-12 12:08:19.028 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:08:19.028 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:08:19.028 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:08:20.029 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:08:20.029 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:08:20.850 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:02:09.055 | INFO     | utils.xiayi:set_window_pos:242 - 已设置窗口 '墨迹大侠-波浪7' (句柄: 70926):
2025-04-12 21:02:09.055 | INFO     | utils.xiayi:set_window_pos:243 - 位置: (-6, 0)
2025-04-12 21:02:09.055 | INFO     | utils.xiayi:set_window_pos:244 - 大小: 568 x 1033
2025-04-12 21:02:09.057 | INFO     | utils.xiayi:set_window_pos:245 - 已设置为始终保持在最前端
2025-04-12 21:02:10.058 | INFO     | utils.xiayi:append_nothing_to_txt:270 - 文本已追加到: progress/20250411.txt
2025-04-12 21:02:10.058 | INFO     | utils.xiayi:read_txt:289 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 21:02:10.890 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:02:10.964 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:04:17.483 | INFO     | utils.xiayi:set_window_pos:242 - 已设置窗口 '墨迹大侠-波浪7' (句柄: 70926):
2025-04-12 21:04:17.484 | INFO     | utils.xiayi:set_window_pos:243 - 位置: (-6, 0)
2025-04-12 21:04:17.484 | INFO     | utils.xiayi:set_window_pos:244 - 大小: 568 x 1033
2025-04-12 21:04:17.484 | INFO     | utils.xiayi:set_window_pos:245 - 已设置为始终保持在最前端
2025-04-12 21:04:18.486 | INFO     | utils.xiayi:append_nothing_to_txt:270 - 文本已追加到: progress/20250411.txt
2025-04-12 21:04:18.487 | INFO     | utils.xiayi:read_txt:289 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 21:04:19.316 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:04:19.379 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:06:42.379 | INFO     | utils.xiayi:set_window_pos:242 - 已设置窗口 '墨迹大侠-波浪7' (句柄: 70926):
2025-04-12 21:06:42.380 | INFO     | utils.xiayi:set_window_pos:243 - 位置: (-6, 0)
2025-04-12 21:06:42.380 | INFO     | utils.xiayi:set_window_pos:244 - 大小: 568 x 1033
2025-04-12 21:06:42.380 | INFO     | utils.xiayi:set_window_pos:245 - 已设置为始终保持在最前端
2025-04-12 21:06:43.381 | INFO     | utils.xiayi:append_nothing_to_txt:270 - 文本已追加到: progress/20250411.txt
2025-04-12 21:06:43.381 | INFO     | utils.xiayi:read_txt:289 - 已读取文件最后一行: progress/20250411.txt
